id,date,type,description,payment_method,bank,value,categories,notes
34,2024-02-20,DEBITO,anonimizado,PIX,CAIXA,800.0,Adiantamento Salarial,anonimizado
35,2024-02-20,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,7061.32,"Recebimento, Serviços",anonimizado
36,2024-02-20,DEBITO,anonimizado,BOLETO,CAIXA,5275.53,"Despesas, Cartão de CrEdito",anonimizado
37,2024-02-21,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,2255.0,"Recebimento, Serviços",anonimizado
38,2024-02-27,CREDITO,anonimizado,PIX,CAIXA,280.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
39,2024-02-28,CREDITO,anonimizado,PIX,CAIXA,215.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
40,2024-03-04,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,450.0,"Recebimento, Serviços",anonimizado
41,2024-03-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
42,2024-03-06,DEBITO,anonimizado,TRANSFERENCIA,CAIXA,2409.51,Salário,anonimizado
43,2024-03-06,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,483.0,"Recebimento, Pagamento Online",anonimizado
44,2024-03-06,DEBITO,anonimizado,PIX,CAIXA,1503.47,Salário,anonimizado
45,2024-03-06,DEBITO,anonimizado,PIX,CAIXA,632.24,Salário,anonimizado
46,2024-03-06,DEBITO,anonimizado,PIX,CAIXA,1301.87,Salário,anonimizado
47,2024-03-06,DEBITO,anonimizado,BOLETO,CAIXA,893.24,"Encargos, FGTS",anonimizado
48,2024-03-11,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,10131.6,"Recebimento, Serviços",anonimizado
49,2024-03-15,DEBITO,anonimizado,BOLETO,CAIXA,1069.79,"Despesas, Planos de Saúde",anonimizado
50,2024-03-20,DEBITO,anonimizado,BOLETO,CAIXA,2414.58,"Encargos, DAS",anonimizado
51,2024-03-20,DEBITO,anonimizado,BOLETO,CAIXA,1298.23,"Encargos, INSS",anonimizado
52,2024-03-20,DEBITO,anonimizado,BOLETO,CAIXA,2799.92,"Despesas, Cartão de CrEdito",anonimizado
53,2024-03-20,DEBITO,anonimizado,PIX,CAIXA,800.0,Adiantamento Salarial,anonimizado
54,2024-03-20,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,3231.24,"Recebimento, Serviços",anonimizado
55,2024-03-25,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,150.0,"Recebimento, Serviços",anonimizado
56,2024-04-05,DEBITO,anonimizado,TRANSFERENCIA,CAIXA,2583.37,Salário,anonimizado
57,2024-04-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
58,2024-04-08,DEBITO,anonimizado,PIX,CAIXA,1678.01,FErias,anonimizado
59,2024-04-08,DEBITO,anonimizado,BOLETO,CAIXA,550.19,"Despesas, Estagiário",anonimizado
60,2024-04-10,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,7455.25,"Recebimento, Serviços",anonimizado
61,2024-04-15,DEBITO,anonimizado,BOLETO,CAIXA,2070.26,"Despesas, Cartão de CrEdito",anonimizado
62,2024-04-17,CREDITO,anonimizado,PIX,CAIXA,480.0,"Recebimento, Serviços",anonimizado
63,2024-04-19,DEBITO,anonimizado,PIX,CAIXA,838.88,Adiantamento Salarial,anonimizado
64,2024-04-19,DEBITO,anonimizado,BOLETO,CAIXA,1477.01,"Encargos, INSS",anonimizado
65,2024-04-19,DEBITO,anonimizado,BOLETO,CAIXA,1830.73,"Encargos, DAS",anonimizado
66,2024-04-22,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,4545.0,"Recebimento, Serviços",anonimizado
67,2024-05-03,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,1967.5,"Recebimento, Serviços",anonimizado
68,2024-05-06,DEBITO,anonimizado,PIX,CAIXA,559.45,Honorários Contábeis,anonimizado
69,2024-05-06,DEBITO,anonimizado,PIX,CAIXA,619.0,Serviços Prestados,anonimizado
70,2024-05-06,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
71,2024-05-07,DEBITO,anonimizado,PIX,CAIXA,1476.99,Salário,anonimizado
72,2024-05-07,DEBITO,anonimizado,PIX,CAIXA,1058.62,Salário,anonimizado
73,2024-05-07,DEBITO,anonimizado,PIX,CAIXA,800.0,Compra de Equipamentos,anonimizado
74,2024-05-10,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,12224.07,"Recebimento, Serviços",anonimizado
75,2024-05-13,DEBITO,anonimizado,BOLETO,CAIXA,214.88,"Despesas, Equipamentos",anonimizado
76,2024-05-15,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,1200.0,"Recebimento, Serviços Hospitalares",anonimizado
77,2024-05-15,DEBITO,anonimizado,BOLETO,CAIXA,1069.79,"Despesas, Planos de Saúde",anonimizado
78,2024-05-15,DEBITO,anonimizado,BOLETO,CAIXA,3281.19,"Despesas, Cartão de CrEdito",anonimizado
79,2024-05-15,DEBITO,anonimizado,PIX,CAIXA,1352.8,Pro-Labore,anonimizado
80,2024-05-15,DEBITO,anonimizado,PIX,CAIXA,1352.8,Pro-Labore,anonimizado
81,2024-05-15,DEBITO,anonimizado,PIX,CAIXA,162.14,Pagamento de Energia,anonimizado
82,2024-05-15,DEBITO,anonimizado,PIX,CAIXA,55.82,Pagamento de Energia,anonimizado
83,2024-05-15,DEBITO,anonimizado,PIX,CAIXA,380.19,Pagamento de Energia,anonimizado
84,2024-05-15,CREDITO,anonimizado,PIX,CAIXA,180.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
85,2024-05-16,CREDITO,anonimizado,PIX,CAIXA,90.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
86,2024-05-20,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,450.0,"Recebimento, Serviços Hospitalares",anonimizado
87,2024-05-20,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,11993.6,"Recebimento, Serviços",anonimizado
88,2024-05-20,DEBITO,anonimizado,PIX,CAIXA,838.88,Adiantamento Salarial,anonimizado
89,2024-05-20,DEBITO,anonimizado,BOLETO,CAIXA,1492.23,"Encargos, INSS",anonimizado
90,2024-05-20,DEBITO,anonimizado,BOLETO,CAIXA,2598.44,"Encargos, DAS",anonimizado
91,2024-05-20,DEBITO,anonimizado,PIX,CAIXA,1054.65,"Encargos, FGTS",anonimizado
92,2024-05-20,DEBITO,anonimizado,PIX,CAIXA,975.62,"Despesas, IPVA",anonimizado
93,2024-05-20,DEBITO,anonimizado,PIX,CAIXA,113.84,"Despesas, IPVA",anonimizado
94,2024-05-21,CREDITO,anonimizado,PIX,CAIXA,380.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
95,2024-05-22,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,3170.0,"Recebimento, Serviços",anonimizado
96,2024-05-27,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,110.0,"Recebimento, Serviços",anonimizado
97,2024-05-27,CREDITO,anonimizado,PIX,CAIXA,280.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
98,2024-05-28,CREDITO,anonimizado,PIX,CAIXA,100.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
99,2024-05-29,CREDITO,anonimizado,PIX,CAIXA,40.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
100,2024-05-31,DEBITO,anonimizado,PIX,CAIXA,240.0,Pagamento de VT,anonimizado
101,2024-05-31,DEBITO,anonimizado,PIX,CAIXA,1352.8,Pro-Labore,anonimizado
102,2024-05-31,DEBITO,anonimizado,PIX,CAIXA,1352.8,Pro-Labore,anonimizado
103,2024-06-03,DEBITO,anonimizado,BOLETO,CAIXA,376.66,"Despesas, Parcelas Equipamentos",anonimizado
104,2024-06-03,DEBITO,anonimizado,PIX,CAIXA,211.24,"Encargos, Impostos",anonimizado
105,2024-06-05,DEBITO,anonimizado,PIX,CAIXA,226.75,"Despesas, Água",anonimizado
106,2024-06-05,DEBITO,anonimizado,PIX,CAIXA,577.0,Serviços Prestados,anonimizado
107,2024-06-05,DEBITO,anonimizado,PIX,CAIXA,559.45,Honorários Contábeis,anonimizado
108,2024-06-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
109,2024-06-06,DEBITO,anonimizado,PIX,CAIXA,240.0,Vale Transporte,anonimizado
110,2024-06-06,DEBITO,anonimizado,TRANSFERENCIA,CAIXA,2436.31,Salário,anonimizado
111,2024-06-06,DEBITO,anonimizado,PIX,CAIXA,1561.73,Salário,anonimizado
112,2024-06-06,DEBITO,anonimizado,PIX,CAIXA,1465.32,Salário,anonimizado
113,2024-06-06,DEBITO,anonimizado,PIX,CAIXA,1642.34,Salário,anonimizado
114,2024-06-07,DEBITO,anonimizado,BOLETO,CAIXA,550.19,"Despesas, Estagiário",anonimizado
115,2024-06-10,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,7704.82,"Recebimento, Serviços",anonimizado
116,2024-06-10,DEBITO,anonimizado,BOLETO,CAIXA,4993.82,"Despesas, Aluguel",anonimizado
117,2024-06-10,DEBITO,anonimizado,BOLETO,CAIXA,48.42,"Despesas, Equipamentos",anonimizado
118,2024-06-10,DEBITO,anonimizado,BOLETO,CAIXA,311.22,"Despesas, Equipamentos",anonimizado
119,2024-06-14,DEBITO,anonimizado,BOLETO,CAIXA,2469.02,"Despesas, Cartão de CrEdito",anonimizado
120,2024-06-20,DEBITO,anonimizado,PIX,CAIXA,1074.45,"Encargos, FGTS",anonimizado
121,2024-06-20,DEBITO,anonimizado,BOLETO,CAIXA,2683.2,"Encargos, DAS",anonimizado
122,2024-06-20,DEBITO,anonimizado,BOLETO,CAIXA,1485.73,"Encargos, INSS",anonimizado
123,2024-06-20,DEBITO,anonimizado,BOLETO,CAIXA,150.0,"Encargos, Contribuição Assistencial",anonimizado
124,2024-06-20,DEBITO,anonimizado,BOLETO,CAIXA,428.12,Parcelas Equipamentos,anonimizado
125,2024-06-20,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,5255.16,"Recebimento, Serviços",anonimizado
126,2024-06-21,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,1365.0,"Recebimento, Serviços",anonimizado
127,2024-06-26,DEBITO,anonimizado,PIX,CAIXA,2723.07,Rescisão Trabalhista,anonimizado
128,2024-06-27,CREDITO,anonimizado,PIX,CAIXA,1100.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
129,2024-07-01,CREDITO,anonimizado,PIX,CAIXA,1428.33,"Recebimento, Serviços",anonimizado
130,2024-07-03,DEBITO,anonimizado,PIX,CAIXA,657.14,"Encargos, Impostos",anonimizado
131,2024-07-03,CREDITO,anonimizado,PIX,CAIXA,1250.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
132,2024-07-05,DEBITO,anonimizado,TRANSFERENCIA,CAIXA,2806.33,Salário,anonimizado
133,2024-07-05,DEBITO,anonimizado,PIX,CAIXA,1676.89,Salário,anonimizado
134,2024-07-05,DEBITO,anonimizado,PIX,CAIXA,1625.1,Salário,anonimizado
135,2024-07-05,DEBITO,anonimizado,PIX,CAIXA,559.45,Honorários Contábeis,anonimizado
136,2024-07-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
137,2024-07-10,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,6578.72,"Recebimento, Serviços",anonimizado
138,2024-07-12,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,360.0,"Recebimento, Serviços",anonimizado
139,2024-07-15,CREDITO,anonimizado,PIX,CAIXA,750.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
140,2024-07-15,DEBITO,anonimizado,BOLETO,CAIXA,2646.03,"Despesas, Cartão de CrEdito",anonimizado
141,2024-07-15,DEBITO,anonimizado,PIX,CAIXA,1352.8,Pro-Labore,anonimizado
142,2024-07-17,CREDITO,anonimizado,PIX,CAIXA,760.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
143,2024-07-19,DEBITO,anonimizado,PIX,CAIXA,1019.84,"Encargos, FGTS",anonimizado
144,2024-07-19,DEBITO,anonimizado,BOLETO,CAIXA,1464.58,"Encargos, INSS",anonimizado
145,2024-07-19,DEBITO,anonimizado,BOLETO,CAIXA,2131.88,"Encargos, DAS",anonimizado
146,2024-07-22,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,7481.22,"Recebimento, Serviços",anonimizado
147,2024-07-22,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,2082.27,"Recebimento, Serviços",anonimizado
148,2024-07-25,DEBITO,anonimizado,PIX,CAIXA,1352.8,Pro-Labore,anonimizado
149,2024-07-26,DEBITO,anonimizado,PIX,CAIXA,426.81,Rescisão Trabalhista,anonimizado
150,2024-07-29,CREDITO,anonimizado,PIX,CAIXA,180.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
151,2024-07-30,CREDITO,anonimizado,PIX,CAIXA,95.0,"Recebimento, Pagamento de Nota Fiscal",anonimizado
152,2024-08-02,DEBITO,anonimizado,BOLETO,CAIXA,267.03,"Despesas, Vale Transporte",anonimizado
153,2024-08-05,DEBITO,anonimizado,PIX,CAIXA,232.24,"Despesas, Água",anonimizado
154,2024-08-05,DEBITO,anonimizado,PIX,CAIXA,633.12,"Encargos, Impostos",anonimizado
155,2024-08-05,DEBITO,anonimizado,PIX,CAIXA,559.45,Honorários Contábeis,anonimizado
156,2024-08-05,DEBITO,anonimizado,BOLETO,CAIXA,69.0,Pagamento de Encargos,anonimizado
157,2024-08-06,DEBITO,anonimizado,PIX,CAIXA,1645.26,Salário,anonimizado
158,2024-08-06,DEBITO,anonimizado,PIX,CAIXA,1617.1,Salário,anonimizado
159,2024-08-06,DEBITO,anonimizado,PIX,CAIXA,1726.23,Salário,anonimizado
160,2024-08-07,DEBITO,anonimizado,BOLETO,CAIXA,200.0,"Despesas, Benefícios",anonimizado
161,2024-08-07,DEBITO,anonimizado,PIX,CAIXA,245.0,"Despesas, Reembolso",anonimizado
162,2024-08-09,DEBITO,anonimizado,BOLETO,CAIXA,550.19,"Despesas, Estagiário",anonimizado
163,2024-08-12,DEBITO,anonimizado,BOLETO,CAIXA,114.73,"Despesas, Cartão de CrEdito",anonimizado
164,2024-08-12,CREDITO,anonimizado,TRANSFERENCIA,CAIXA,2990.95,"Recebimento, Serviços",anonimizado
165,2024-01-05,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,639.5,"Recebimento, Pagamento Online",anonimizado
166,2024-01-05,DEBITO,anonimizado,BOLETO,CRED_CREA,267.2,"Despesas, Água",anonimizado
167,2024-01-05,DEBITO,anonimizado,BOLETO,CRED_CREA,1337.71,"Encargos, FGTS",anonimizado
168,2024-01-05,DEBITO,anonimizado,BOLETO,CRED_CREA,454.33,"Despesas, Equipamentos",anonimizado
169,2024-01-08,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,410.38,"Recebimento, Pagamento Online",anonimizado
170,2024-01-10,DEBITO,anonimizado,BOLETO,CRED_CREA,2460.29,EmprEstimo,anonimizado
171,2024-01-10,DEBITO,anonimizado,BOLETO,CRED_CREA,184.61,"Despesas, Seguro",anonimizado
172,2024-01-10,DEBITO,anonimizado,BOLETO,CRED_CREA,219.08,"Despesas, Seguro",anonimizado
173,2024-01-10,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1095.98,"Recebimento, Pagamento Online",anonimizado
174,2024-01-11,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,693.66,"Recebimento, Pagamento Online",anonimizado
175,2024-01-11,DEBITO,anonimizado,BOLETO,CRED_CREA,824.6,"Despesas, Fornecedores",anonimizado
176,2024-01-15,DEBITO,anonimizado,BOLETO,CRED_CREA,69.5,Encargos,anonimizado
177,2024-01-15,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1052.57,"Recebimento, Pagamento Online",anonimizado
178,2024-01-15,DEBITO,anonimizado,BOLETO,CRED_CREA,1684.84,"Despesas, Equipamentos",anonimizado
179,2024-01-15,DEBITO,anonimizado,BOLETO,CRED_CREA,895.72,"Despesas, Planos de Saúde",anonimizado
180,2024-01-16,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,374.3,"Recebimento, Pagamento Online",anonimizado
181,2024-01-19,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,3261.02,"Recebimento, Pagamento Online",anonimizado
182,2024-01-24,DEBITO,anonimizado,BOLETO,CRED_CREA,377.0,"Despesas, Fornecedores",anonimizado
183,2024-01-24,DEBITO,anonimizado,BOLETO,CRED_CREA,64.54,"Despesas, Telefonia",anonimizado
184,2024-01-24,DEBITO,anonimizado,BOLETO,CRED_CREA,136.0,"Despesas, Internet",anonimizado
185,2024-01-24,DEBITO,anonimizado,BOLETO,CRED_CREA,149.9,"Despesas, Telecomunicações",anonimizado
186,2024-01-24,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1720.24,"Recebimento, Pagamento Online",anonimizado
187,2024-01-26,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1085.47,"Recebimento, Pagamento Online",anonimizado
188,2024-01-29,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,216.7,"Recebimento, Pagamento Online",anonimizado
189,2024-01-29,DEBITO,anonimizado,BOLETO,CRED_CREA,196.56,"Despesas, Fornecedores",anonimizado
190,2024-01-29,DEBITO,anonimizado,BOLETO,CRED_CREA,573.03,Vale Transporte,anonimizado
191,2024-01-29,DEBITO,anonimizado,BOLETO,CRED_CREA,137.07,"Despesas, Saúde",anonimizado
192,2024-01-31,DEBITO,anonimizado,BOLETO,CRED_CREA,1700.0,"Despesas, Benefícios",anonimizado
193,2024-02-05,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1857.11,"Recebimento, Pagamento Online",anonimizado
194,2024-02-05,DEBITO,anonimizado,BOLETO,CRED_CREA,204.88,"Despesas, Água",anonimizado
195,2024-02-08,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1557.23,"Recebimento, Pagamento Online",anonimizado
196,2024-02-14,DEBITO,anonimizado,BOLETO,CRED_CREA,720.44,"Despesas, Equipamentos",anonimizado
197,2024-02-14,DEBITO,anonimizado,BOLETO,CRED_CREA,1684.79,"Despesas, Equipamentos",anonimizado
198,2024-02-14,DEBITO,anonimizado,BOLETO,CRED_CREA,2460.29,EmprEstimo,anonimizado
199,2024-02-14,DEBITO,anonimizado,BOLETO,CRED_CREA,184.61,"Despesas, Seguro",anonimizado
200,2024-02-14,DEBITO,anonimizado,BOLETO,CRED_CREA,219.08,"Despesas, Seguro",anonimizado
201,2024-02-14,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,638.71,"Recebimento, Pagamento Online",anonimizado
202,2024-02-15,DEBITO,anonimizado,BOLETO,CRED_CREA,69.5,Encargos,anonimizado
203,2024-02-15,DEBITO,anonimizado,BOLETO,CRED_CREA,59.66,"Despesas, Saúde",anonimizado
204,2024-02-15,DEBITO,anonimizado,BOLETO,CRED_CREA,895.72,"Despesas, Saúde",anonimizado
205,2024-02-16,DEBITO,anonimizado,BOLETO,CRED_CREA,180.74,"Despesas, Energia",anonimizado
206,2024-02-16,DEBITO,anonimizado,BOLETO,CRED_CREA,61.34,"Despesas, Energia",anonimizado
207,2024-02-16,DEBITO,anonimizado,BOLETO,CRED_CREA,642.9,"Despesas, Energia",anonimizado
208,2024-02-19,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1052.94,"Recebimento, Pagamento Online",anonimizado
209,2024-02-19,DEBITO,anonimizado,BOLETO,CRED_CREA,880.18,"Despesas, Equipamentos",anonimizado
210,2024-02-21,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1199.98,"Recebimento, Pagamento Online",anonimizado
211,2024-02-23,DEBITO,anonimizado,BOLETO,CRED_CREA,136.0,"Despesas, Internet",anonimizado
212,2024-02-23,DEBITO,anonimizado,BOLETO,CRED_CREA,149.9,"Despesas, Telecomunicações",anonimizado
213,2024-02-23,DEBITO,anonimizado,BOLETO,CRED_CREA,64.54,"Despesas, Telefonia",anonimizado
214,2024-02-23,DEBITO,anonimizado,BOLETO,CRED_CREA,113.45,"Despesas, Saúde",anonimizado
215,2024-02-26,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,872.44,"Recebimento, Pagamento Online",anonimizado
216,2024-02-26,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,990.15,"Recebimento, Pagamento Online",anonimizado
217,2024-02-27,DEBITO,anonimizado,BOLETO,CRED_CREA,603.03,Vale Transporte,anonimizado
218,2024-02-29,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,224.12,"Recebimento, Pagamento Online",anonimizado
219,2024-02-29,DEBITO,anonimizado,BOLETO,CRED_CREA,1550.0,"Despesas, Benefícios",anonimizado
220,2024-03-01,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,979.36,"Recebimento, Pagamento Online",anonimizado
221,2024-03-04,DEBITO,anonimizado,BOLETO,CRED_CREA,175.7,"Despesas, Água",anonimizado
222,2024-03-11,DEBITO,anonimizado,BOLETO,CRED_CREA,2460.29,EmprEstimo,anonimizado
223,2024-03-11,DEBITO,anonimizado,BOLETO,CRED_CREA,184.61,"Despesas, Seguro",anonimizado
224,2024-03-11,DEBITO,anonimizado,BOLETO,CRED_CREA,219.08,"Despesas, Seguro",anonimizado
225,2024-03-11,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,662.01,"Recebimento, Pagamento Online",anonimizado
226,2024-03-11,CREDITO,anonimizado,PIX,CRED_CREA,420.0,"Recebimento, Pagamento",anonimizado
227,2024-03-13,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,826.43,"Recebimento, Pagamento Online",anonimizado
228,2024-03-15,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,2889.25,"Recebimento, Pagamento Online",anonimizado
229,2024-03-15,DEBITO,anonimizado,BOLETO,CRED_CREA,2745.61,"Despesas, Cartão de CrEdito",anonimizado
230,2024-03-15,DEBITO,anonimizado,BOLETO,CRED_CREA,48.42,"Despesas, Equipamentos",anonimizado
231,2024-03-15,DEBITO,anonimizado,BOLETO,CRED_CREA,172.97,"Despesas, Energia",anonimizado
232,2024-03-15,DEBITO,anonimizado,BOLETO,CRED_CREA,55.27,"Despesas, Energia",anonimizado
233,2024-03-15,DEBITO,anonimizado,BOLETO,CRED_CREA,493.1,"Despesas, Energia",anonimizado
234,2024-03-18,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1014.13,"Recebimento, Pagamento Online",anonimizado
235,2024-03-18,DEBITO,anonimizado,BOLETO,CRED_CREA,213.37,"Despesas, Equipamentos",anonimizado
236,2024-03-19,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,1187.31,"Recebimento, Pagamento Online",anonimizado
237,2024-03-20,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,625.08,"Recebimento, Pagamento Online",anonimizado
238,2024-03-21,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,117.25,"Recebimento, Pagamento Online",anonimizado
239,2024-03-22,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,250.51,"Recebimento, Pagamento Online",anonimizado
240,2024-03-25,CREDITO,anonimizado,TRANSFERENCIA,CRED_CREA,233.76,"Recebimento, Pagamento Online",anonimizado
241,2024-03-25,DEBITO,anonimizado,BOLETO,CRED_CREA,154.53,"Despesas, Internet",anonimizado
242,2024-03-25,DEBITO,anonimizado,BOLETO,CRED_CREA,149.9,"Despesas, Telecomunicações",anonimizado
243,2024-03-25,DEBITO,anonimizado,BOLETO,CRED_CREA,69.18,"Despesas, Telefonia",anonimizado
244,2024-03-25,DEBITO,anonimizado,BOLETO,CRED_CREA,126.53,"Despesas, Saúde",anonimizado
245,2024-03-25,DEBITO,anonimizado,BOLETO,CRED_CREA,155.56,"Despesas, Equipamentos",anonimizado
246,2024-03-28,DEBITO,anonimizado,BOLETO,CRED_CREA,1950.0,"Despesas, Benefícios",anonimizado
